,N of colex,Recall,Model
0,100,0.6005586592178771,NPM
1,100,0.597667638483965,NPM
2,100,0.615606936416185,NPM
3,100,0.5932203389830508,NPM
4,100,0.5997248968363136,NPM
5,100,0.5812324929971989,NPM
6,100,0.6082758620689656,NPM
7,100,0.580829756795422,NPM
8,100,0.6329479768786127,NPM
9,100,0.5965665236051502,NPM
10,100,0.5796089385474861,NPM
11,100,0.6271186440677966,NPM
12,100,0.5957142857142858,NPM
13,100,0.6151724137931035,NPM
14,100,0.6088235294117647,NPM
15,100,0.6039603960396039,NPM
16,100,0.6062246278755075,NPM
17,100,0.5997045790251108,NPM
18,100,0.6014388489208633,NPM
19,100,0.5864978902953587,NPM
20,100,0.5969738651994498,NPM
21,100,0.6105263157894737,NPM
22,100,0.609353507565337,NPM
23,100,0.6014705882352941,NPM
24,100,0.589041095890411,NPM
25,100,0.6047486033519553,NPM
26,100,0.5851216022889842,NPM
27,100,0.6403508771929824,NPM
28,100,0.5560109289617486,NPM
29,100,0.6260744985673352,NPM
30,100,0.6008836524300442,NPM
31,100,0.6166902404526167,NPM
32,100,0.6022566995768688,NPM
33,100,0.6153846153846154,NPM
34,100,0.5786435786435786,NPM
35,100,0.6058495821727019,NPM
36,100,0.6251788268955651,NPM
37,100,0.5916083916083916,NPM
38,100,0.5930930930930931,NPM
39,100,0.6210670314637483,NPM
40,100,0.5964432284541724,NPM
41,100,0.6112637362637363,NPM
42,100,0.6072463768115942,NPM
43,100,0.5960170697012802,NPM
44,100,0.6115214180206795,NPM
45,100,0.631578947368421,NPM
46,100,0.5871428571428572,NPM
47,100,0.6166219839142091,NPM
48,100,0.5974395448079659,NPM
49,100,0.6027972027972028,NPM
50,100,0.0,Family
51,100,0.0,Family
52,100,0.0,Family
53,100,0.0,Family
54,100,0.0,Family
55,100,0.0,Family
56,100,0.0,Family
57,100,0.0,Family
58,100,0.0,Family
59,100,0.0,Family
60,100,0.0,Family
61,100,0.0,Family
62,100,0.0,Family
63,100,0.0,Family
64,100,0.0,Family
65,100,0.0,Family
66,100,0.0,Family
67,100,0.0,Family
68,100,0.0,Family
69,100,0.0,Family
70,100,0.0,Family
71,100,0.0,Family
72,100,0.0,Family
73,100,0.0,Family
74,100,0.0,Family
75,100,0.0,Family
76,100,0.0,Family
77,100,0.0,Family
78,100,0.0,Family
79,100,0.0,Family
80,100,0.0,Family
81,100,0.0,Family
82,100,0.0,Family
83,100,0.0,Family
84,100,0.0,Family
85,100,0.0,Family
86,100,0.0,Family
87,100,0.0,Family
88,100,0.0,Family
89,100,0.0,Family
90,100,0.0,Family
91,100,0.0,Family
92,100,0.0,Family
93,100,0.0,Family
94,100,0.0,Family
95,100,0.0,Family
96,100,0.0,Family
97,100,0.0,Family
98,100,0.0,Family
99,100,0.0,Family
100,100,0.03941605839416058,Subfamily
101,100,0.028288543140028287,Subfamily
102,100,0.02167630057803468,Subfamily
103,100,0.0319001386962552,Subfamily
104,100,0.07596685082872928,Subfamily
105,100,0.023351648351648352,Subfamily
106,100,0.034722222222222224,Subfamily
107,100,0.025449101796407185,Subfamily
108,100,0.07586206896551724,Subfamily
109,100,0.07703488372093023,Subfamily
110,100,0.03723404255319149,Subfamily
111,100,0.07514450867052024,Subfamily
112,100,0.022658610271903322,Subfamily
113,100,0.03138373751783167,Subfamily
114,100,0.06786703601108034,Subfamily
115,100,0.037142857142857144,Subfamily
116,100,0.031609195402298854,Subfamily
117,100,0.02442528735632184,Subfamily
118,100,0.0673076923076923,Subfamily
119,100,0.0380818053596615,Subfamily
120,100,0.03305785123966942,Subfamily
121,100,0.06204906204906205,Subfamily
122,100,0.023876404494382022,Subfamily
123,100,0.07647907647907648,Subfamily
124,100,0.03404255319148936,Subfamily
125,100,0.029411764705882353,Subfamily
126,100,0.07412398921832884,Subfamily
127,100,0.026988636363636364,Subfamily
128,100,0.06841339155749636,Subfamily
129,100,0.0,Subfamily
130,100,0.026573426573426574,Subfamily
131,100,0.0,Subfamily
132,100,0.06500691562932227,Subfamily
133,100,0.0746705710102489,Subfamily
134,100,0.07323943661971831,Subfamily
135,100,0.02745664739884393,Subfamily
136,100,0.030837004405286344,Subfamily
137,100,0.026595744680851064,Subfamily
138,100,0.026685393258426966,Subfamily
139,100,0.04190751445086705,Subfamily
140,100,0.043478260869565216,Subfamily
141,100,0.0,Subfamily
142,100,0.06796116504854369,Subfamily
143,100,0.06772334293948126,Subfamily
144,100,0.0196078431372549,Subfamily
145,100,0.07091172214182344,Subfamily
146,100,0.041176470588235294,Subfamily
147,100,0.031704095112285335,Subfamily
148,100,0.0,Subfamily
149,100,0.027696793002915453,Subfamily
150,100,0.11351351351351352,Prob
151,100,0.0938375350140056,Prob
152,100,0.15164520743919885,Prob
153,100,0.1378299120234604,Prob
154,100,0.14121037463976946,Prob
155,100,0.13630229419703105,Prob
156,100,0.11798561151079137,Prob
157,100,0.09766162310866575,Prob
158,100,0.08023774145616643,Prob
159,100,0.1111111111111111,Prob
160,100,0.11543810848400557,Prob
161,100,0.15066469719350073,Prob
162,100,0.13649425287356323,Prob
163,100,0.06406685236768803,Prob
164,100,0.10570236439499305,Prob
165,100,0.13411078717201166,Prob
166,100,0.15577190542420027,Prob
167,100,0.10495626822157435,Prob
168,100,0.14285714285714285,Prob
169,100,0.09620596205962059,Prob
170,100,0.12482468443197756,Prob
171,100,0.10684931506849316,Prob
172,100,0.1572052401746725,Prob
173,100,0.1278735632183908,Prob
174,100,0.11095305832147938,Prob
175,100,0.12005649717514125,Prob
176,100,0.13237410071942446,Prob
177,100,0.15481171548117154,Prob
178,100,0.09928057553956834,Prob
179,100,0.10084033613445378,Prob
180,100,0.11127379209370425,Prob
181,100,0.15362731152204837,Prob
182,100,0.07544581618655692,Prob
183,100,0.09475218658892129,Prob
184,100,0.1565934065934066,Prob
185,100,0.13333333333333333,Prob
186,100,0.13278008298755187,Prob
187,100,0.11673699015471167,Prob
188,100,0.12219101123595505,Prob
189,100,0.13275613275613277,Prob
190,100,0.1392757660167131,Prob
191,100,0.1475177304964539,Prob
192,100,0.129080118694362,Prob
193,100,0.11221590909090909,Prob
194,100,0.10714285714285714,Prob
195,100,0.08591549295774648,Prob
196,100,0.10413694721825963,Prob
197,100,0.15178571428571427,Prob
198,100,0.15,Prob
199,100,0.14447592067988668,Prob
200,100,0.602510460251046,NPM+Family
201,100,0.6175182481751825,NPM+Family
202,100,0.5991501416430595,NPM+Family
