,Abkhaz,Adyghe,Hokkaido Ainu,Aleut,Avar,North Azerbaijani,Bashkir,Belarusian,Bengali,Breton,Burushaski,Buryat,Bulgarian,Catalan,Czech,Chechen,Chuvash,Chukchi,Mandarin Chinese,Welsh,Danish,Dargwa,Tsez,German,Estonian,Modern Greek,Forest Enets,English,Central Siberian Yupik,Basque,Evenki,Finnish,French,Nanai,Irish,Modern Hebrew,Hindi,Croatian,Hungarian,Armenian,Icelandic,Italian,Itelmen,Japanese,Kalaallisut,Kannada,Georgian,Kazakh,Northern Khanty,Ket,Khalkha Mongolian,Northern Kurdish,Komi-Permyak,Korean,Komi-Zyrian,North Karelian,Latvian,Lak,Lezgian,Lithuanian,Livonian,Malayalam,Moksha,Meadow Mari,Manchu,Northern Mansi,Hill Mari,Erzya,Nganasan,Nivkh,Dutch,Norwegian (Bokmål),Olonets Karelian,Ossetian,Northern Pashto,Western Farsi,Polish,Portuguese,Romanian,Russian,Sakha,Northern Selkup,Kildin Sami,Slovak,Slovene,Southern Sami,Northern Sami,Lule Sami,Inari Sami,Skolt Sami,Spanish,Standard Albanian,Swedish,Tamil,Tatar,Telugu,Turkish,Udmurt,Ukrainian,Northern Uzbek,Veps,Kalmyk,Northern Yukaghir,Tundra Nenets,Southern Yukaghir
Abkhaz,0.0,199.8302880393444,7612.530407521342,8899.674611462635,468.66176816809434,760.0595354774514,1627.7200359486524,1609.999554509578,4915.439384790477,3490.765412494371,2960.0997799184324,4913.187282725643,1413.0043569754835,3233.928843982648,2122.148386545548,354.7878667637476,1448.1954543747988,6900.916364431338,6042.35229954935,3472.2551339532324,2474.3588321654365,517.6204775133284,390.5691829265927,2490.538279148163,2121.0606879724105,1572.139547931481,3972.5033380009745,3270.018678765268,7855.279706328015,3408.2607904765873,4573.04919497245,2284.766065863218,3066.2354430204527,6819.809880799447,3711.8994314211795,1435.4648583478042,3745.996742559273,1949.443005223663,1738.7420955811158,466.8912109095907,4378.242897114333,2305.890720209463,7406.988121996129,7721.437212457665,5740.78113719275,4678.147443336103,254.3394277921609,2542.4560889983586,2696.5343197852226,3710.7676533913836,4940.479952466632,691.9779807076258,2065.971842337613,7053.151848922342,2493.5319167181633,2541.542993608928,1938.4619976974996,495.54399613280043,580.2387440214708,1827.1913749101877,2094.728415607112,5073.9478283473545,1242.8795861756025,1658.2114697100446,6363.286817519298,2693.608672894837,1521.0982917721558,1151.243646161625,4067.685973290455,6900.287267719346,2856.759760063521,2777.7462457329398,2068.3773259823233,249.59418577061865,2583.8496813007614,2033.1986317851029,1944.167899643841,4060.4124606361797,1385.2185525185876,1620.0789254829726,5831.308990195189,3330.1307036413796,2816.062427828494,1831.6190130253403,2107.1127152235313,2964.2922768973517,3060.937487698915,3033.121833619207,3029.2498406308036,2942.300863332539,3626.3899542673394,1761.7850241223573,2459.6003315540725,5128.862671528147,1473.588090016871,4615.860355151117,776.2585320800438,1667.8938936005688,1242.841874458185,2181.543716054605,1969.3788614022405,509.91429608590283,6438.809306790341,3147.3505777705045,6514.345615484368
Adyghe,199.8302880393444,0.0,7569.080459223074,8767.707463329807,624.8599570237689,917.1176559581618,1556.7416884212996,1415.6605842546182,5036.898312245918,3333.685879095887,3066.792297381868,4887.636234884174,1318.9181262824736,3114.7206608776355,1956.810384433519,457.63985574631005,1307.9605854384126,6763.165809866907,6054.98680145711,3300.62537386674,2285.5198888178297,648.4059654162727,539.0140144803181,2315.304584630734,1921.2715422486647,1541.857411358821,3854.4485528011037,3094.9204234843587,7706.493814463458,3275.9116140971705,4480.676500993825,2085.451191319362,2912.4894743373834,6774.318914947245,3535.9024056172475,1567.4144637107413,3885.3445546409894,1819.4917302823562,1593.0955430595636,660.4644042526133,4181.761153390968,2190.7237871119933,7307.730879674465,7716.2008840363915,5540.9670373688405,4853.876229541906,437.25712678938714,2546.4871832175313,2589.0250225516065,3623.755192167561,4932.838323990768,887.4067686895655,1941.398052381397,7053.681549662546,2351.691674263979,2350.2833304448864,1739.3550026405962,636.9283654364551,729.6511357724868,1630.3338110337386,1895.962713595463,5253.969571656483,1078.369802192372,1523.9468703775076,6333.515249968806,2565.7087716876235,1372.804928936706,1011.604465604363,3935.057445829419,6833.63402719402,2684.702143045032,2580.9404000634886,1875.9310767419925,376.2487599489779,2732.7761466644156,2226.5937163150197,1764.4899556369278,3935.4326641868342,1242.020604613943,1440.4923825199378,5744.621888626848,3262.270886196401,2632.802208680951,1672.6741996428127,1967.6142974200711,2764.4638072595567,2866.139030849612,2835.2748879173855,2838.8996797482505,2753.0025008901603,3496.4520054165982,1675.8484766403228,2260.675657128555,5304.099644685144,1353.5755700954899,4781.584045469853,791.3893515903336,1554.8564984157993,1054.9309265082302,2283.4750287846473,1779.1497139787073,465.6515133292187,6311.855351346424,3029.3588079455244,6399.030533815581
Hokkaido Ainu,7612.530407521342,7569.080459223074,0.0,3307.499609070859,7364.034104006532,7250.4525369931935,6019.791282270794,7684.463417968302,5214.2888416022615,9282.366619988105,5668.330817451467,2732.1120326810837,8644.025400584991,9782.51836872024,8436.713993439133,7309.005054715817,6445.470132795679,3203.8204146424137,2201.2931849648503,8907.11024182887,8024.125908813104,7256.860212261545,7374.272316720957,8403.155814583322,7241.991108924577,9045.873207094422,4173.995317457841,8720.416999610097,3692.318946619267,9705.14175935629,3336.7785945565906,7116.449142052749,9120.236486992459,796.1407049861576,8876.496352652473,8916.94904567903,5965.612973691892,8776.239160436347,8492.100538582152,7584.738456314938,7995.629780171131,9164.584809424796,1780.3301169759543,1153.6819538214988,7388.437865205626,7075.396884980784,7532.84963699531,5139.362412737194,5151.013838540674,4070.53940453138,2817.0129621035344,7933.182898506849,5826.179664735987,1396.379292771586,5632.6801855330505,6567.509536728722,7452.3965880538935,7300.689104808231,7288.295050877043,7603.672388963259,7486.530847094598,7327.04028293303,6765.024171794616,6235.542130857255,1303.298601623205,5326.632785538121,6440.224702258403,6686.491872200841,4339.738202271808,1005.2645527483432,8627.167199910507,7694.388308949789,6772.104787615431,7411.664421951133,6505.652704240103,7657.90855378335,8111.853678182918,10270.883317187578,8311.694188523876,6691.54941310745,2199.398159679023,4333.383908958213,6192.75073790623,8390.68151723632,8776.279689164117,7248.750507288656,6598.314590243172,6838.071685890326,6374.604330008349,6357.170504377996,9890.117582053012,8968.796610907642,7477.171486583188,7092.474404468898,6319.14106699344,6656.75239573915,8360.423478288354,6112.974744009229,7775.018177549869,6065.9653460620475,6740.749816808604,7112.555384783371,2912.582272238686,4848.723758831819,2513.4529342339792
Aleut,8899.674611462635,8767.707463329807,3307.499609070859,0.0,8868.350395449852,8892.358771364448,7351.47630235819,8157.941083708971,8299.913217586423,8820.884129328333,8137.206678939753,5080.562936223513,9331.755755636023,9605.926050629349,8642.471326687304,8720.37920311008,7459.776295284398,2015.4559785565125,5311.017310778166,8404.506138648296,8023.407418905438,8764.412869434766,8836.535883029364,8401.452121550381,7515.730288560846,9845.733271766458,4941.393823578688,8312.174737424772,1279.7814671135918,9388.528458640923,4492.433264874732,7329.286829843779,8879.464721918093,3567.1071626958346,8238.871061853892,10333.206089058038,8762.143427993455,9144.262111144535,8926.366109122318,9094.171211673254,6984.292072836457,9414.586951589901,1917.3086638764669,4397.580977068401,5700.097005895315,10104.003228428552,8944.062040170931,7030.167553327524,6227.7122686225275,5336.474106899735,5378.884142445243,9469.070636658322,6833.904143117412,4694.702763913101,6418.372459522189,6798.509682901806,7784.2608113544,8807.065994685872,8840.462937380411,7972.7022275446,7730.535216445052,10425.31390506061,7711.292707713726,7244.443385195746,4168.064985699408,6206.070835666419,7398.505416518243,7756.194610926163,4832.895529628273,3009.2821002676274,8439.929014000514,7551.125776833633,7207.614069742589,8793.68713493657,8914.469179378344,9830.381935642234,8394.765491528962,9698.043561536088,8922.540817694597,7430.025164958994,3421.5227576823722,5815.041548361355,6406.346497496793,8755.50789214268,9045.479480845614,7063.844053512597,6512.84598105105,6701.921119513254,6382.582720364025,6424.565546554091,9485.510739446629,9537.711126261196,7528.531671609754,10209.446197368898,7426.568623685984,9683.968840846615,9457.530275567096,7236.55996025478,8431.434350151609,8224.989012586584,7245.947760247172,8413.48555790649,2466.154681004481,5761.1002882018165,2458.1047120773746
Avar,468.66176816809434,624.8599570237689,7364.034104006532,8868.350395449852,0.0,293.120336274304,1517.6838577424091,2018.7799657489015,4451.278750335247,3954.9271656091573,2506.7577984906184,4640.467127247474,1873.0300156839105,3700.0024473695194,2580.8968956544395,218.2097205108418,1534.4793964361227,6895.912666545171,5696.348188127183,3925.424743769053,2898.382571445254,108.96413932434724,87.89503789581178,2939.6415237193983,2464.9430095383036,1984.598985786286,3927.6079095871864,3719.126082140255,7883.1902764401575,3876.735984210914,4452.966850747436,2611.9484499515174,3531.7627668882137,6578.407654211085,4159.740644201921,1563.8065190214572,3277.428867246487,2417.9613287389534,2206.153510309378,230.1700982525026,4766.905273141532,2771.469599174478,7288.551681937,7400.524117908444,6070.830877748256,4231.16156863866,230.37051001480594,2236.5073694098623,2641.627793170367,3585.6386228515466,4633.760746562784,605.7142568550196,2076.651756946968,6724.197126641246,2543.9476655182452,2791.6083011626047,2311.903937841995,64.3431920922265,113.22349839649956,2221.7897229562245,2471.3988247307993,4634.40371155378,1418.6138375062237,1714.6957136642645,6091.944808180717,2696.7314175936326,1627.3766114666728,1259.3956116145914,4065.0932376517135,6704.584735920906,3309.499186431092,3168.036653880146,2333.5068298576457,252.33071780552885,2115.7141063380227,1645.6272948225885,2387.4579186430256,4527.657568673596,1852.8641497259703,1832.1421598883658,5688.381726578237,3163.3093908099527,3018.216598706894,2294.286326727093,2575.574407329254,3308.8651924671067,3330.2308129393878,3331.6747711667444,3267.854798029665,3175.4648316739326,4094.584398331293,2216.0152494350027,2831.9285194603954,4681.0357028876915,1500.5836900123934,4156.822075950589,1169.4824206757826,1663.852400943429,1672.7562949066294,1735.1350327981895,2223.0232423829443,550.6390225794438,6402.433734342937,3113.141911617764,6443.633601034883
North Azerbaijani,760.0595354774514,917.1176559581618,7250.4525369931935,8892.358771364448,293.120336274304,0.0,1558.4542978229808,2299.245899220989,4170.460551681961,4248.040909041262,2241.598544707592,4519.230862739253,2154.3337271938967,3985.444247653489,2873.6951440164935,483.54423051581125,1688.00752888017,6942.3391096962005,5517.052436697443,4217.003884599225,3181.9025164880977,288.85113966325054,378.1087558397132,3230.5124970308552,2719.6682467518763,2236.0588951921945,3964.398869574858,4009.7476404594554,7946.660590060379,4166.125577085982,4437.82590157235,2858.876932927729,3824.76319408186,6471.961953865718,4449.907169992366,1669.3972378683281,2988.356218804141,2707.7001591476997,2498.5800456703073,393.2803240818438,5034.322906888089,3056.715751074068,7261.943669505025,7235.862989966984,6308.925071342372,3943.1144497525925,512.6972317879067,2111.1338069054536,2686.8148599259266,3573.9104664123884,4487.563780433533,686.1799053540057,2172.6672939354867,6555.14223306387,2653.55385200045,3002.4324331097596,2578.9608851338794,285.3157863726765,189.49202076944977,2496.8428064391396,2738.966401821832,4349.420535933509,1618.5999606453631,1846.4293236848134,5966.078248957244,2776.4331733338527,1787.7837381112379,1435.35960989584,4126.897461128435,6628.904217527712,3601.1006545126097,3438.744487216267,2555.5555418652993,541.9891376067211,1823.8447649257598,1400.9004139655392,2677.212321168026,4814.513120947552,2145.1501336645556,2037.5642616679963,5651.710131009637,3127.9371750949317,3203.5477546473567,2587.4028903143717,2867.0465501860135,3560.0967958798706,3546.61267672249,3561.9554007684155,3469.5875777305,3375.1287893342696,4383.211463254329,2492.36239569835,3096.457847154712,4392.508997494629,1624.2246657594178,3864.559255235361,1421.7879628853632,1763.6307742814317,1960.237133203862,1482.0083111673505,2441.1455438628814,768.0146247422585,6431.173252939386,3164.5702227238953,6450.586631103253
Bashkir,1627.7200359486524,1556.7416884212996,6019.791282270794,7351.47630235819,1517.6838577424091,1558.4542978229808,0.0,2036.6452419584389,4311.47414939088,4143.5825868204965,2394.5743701184874,3370.408053148499,2684.4052694343104,4226.889709577715,2844.407941082186,1384.1068418597454,641.2861195047464,5387.2416315767205,4634.049874776913,3951.720839290394,2799.621649253511,1413.0487101251474,1490.6409233946356,3037.148524719755,2032.5756487539254,3037.3136176410912,2412.5771694422483,3720.4178018267226,6388.234641344628,4293.609965767289,2952.2935696127465,2070.9962127636195,3789.1144454576333,5224.041624303318,4107.148183706265,3038.7120928983886,3423.0301043032964,2979.226155868896,2693.8653328588134,1745.1735613666294,4245.586405179116,3389.5952260485215,5789.7563897950295,6229.740856186237,5211.694536978849,4770.797525099184,1613.743182911037,1215.828688875111,1129.5594253629279,2086.7982748915997,3459.821963060964,2121.313749326091,682.5362003278742,5585.975475526601,1165.948175458953,1918.1038126486249,2057.7613655070554,1455.9098458506696,1490.0663147271573,2099.9586480569264,2189.9645187649458,5217.3758630200755,911.2887469631443,585.0421170942338,4802.624821656755,1232.3182794238921,719.4341697530176,737.4695492538128,2568.580210377768,5277.567173405411,3395.409797597053,2820.331437050147,1624.4536256663055,1469.678667272899,2537.4973920523325,2776.4203682969774,2532.50370671973,4968.160100064555,2422.117966949038,1139.520758759408,4205.23127153862,1705.8686285582785,1953.9435053920383,2665.990925278248,3052.989213092578,2716.1774343635266,2439.78631527227,2547.213169068842,2283.0957022351367,2185.1391425141837,4517.7546300908525,3034.313344289795,2448.987466722917,5185.124628523576,453.16151318255567,4556.697763739626,2345.321049825551,376.9227406117446,1937.2279541737983,1740.3936405846644,1507.7157053579974,1117.8057634837517,4886.033299099227,1606.373143207651,4927.192348980619
Belarusian,1609.999554509578,1415.6605842546182,7684.463417968302,8157.941083708971,2018.7799657489015,2299.245899220989,2036.6452419584389,0.0,6206.486144074377,2124.953858070732,4219.036801089907,5234.311283908676,1178.7961217354143,2217.8682129958593,815.6788726589182,1815.7192452918664,1413.802435836589,6155.854411485435,6599.39377196944,1989.372102199175,886.3774453404536,2012.0353374664783,1930.9049585921427,1020.2954471083576,671.647093117027,1699.9849376343645,3572.925152217956,1765.7653601918626,6972.3099709422495,2260.7661388296533,4366.479376613309,867.0069141549126,1754.6586417740714,6902.003708542519,2192.0689788028876,2574.8521005927328,5148.883544566278,1095.4435568419865,820.3359265538616,2075.754750781201,2770.2184045183844,1480.6646759193466,7009.964119734304,8091.674101548681,4186.308231047322,6236.765980896999,1852.3278597109213,3251.900315005926,2555.213127496655,3620.173626449378,5394.202752729175,2250.931231966789,1913.0215079560548,7487.422950899798,2052.20444835652,1360.427577437864,408.7655502614364,2014.4228119149432,2110.456037946558,237.7422964926356,532.6259103803768,6647.722520781979,1126.0656476641864,1568.110068846804,6587.880450579511,2357.9468250917794,1367.9669185079615,1324.5058797737831,3513.788821185672,6804.549394307894,1393.0466140121414,1172.746502447828,971.5775578976978,1767.57391643333,4048.9608345510333,3642.231077162745,496.03650760824627,2933.2182358591463,767.1018141302646,1017.0704514365445,5606.248730136719,3438.7117206698053,1752.2258633079928,706.467730491317,1096.7129899970084,1431.0350662911467,1732.5383943097129,1617.8394281880967,1804.5812963265403,1748.375791299171,2483.8123957376833,1391.8057944070626,886.2246421071039,6684.398029328806,1594.6892303447241,6133.462890549318,1584.6860507554102,1756.6256292004668,392.3467914141732,3451.8095375884895,967.1001672946404,1587.9638034700738,5816.111591142297,2837.6246774033284,6000.489933807251
Bengali,4915.439384790477,5036.898312245918,5214.2888416022615,8299.913217586423,4451.278750335247,4170.460551681961,4311.47414939088,6206.486144074377,0.0,8313.053986223787,1990.3503821309266,3438.9287653777433,6323.94140281886,8148.848921840278,6933.016429813858,4580.652254504446,4936.784076504213,7133.043001567532,3029.519869115593,8193.570233790644,7055.14787154669,4399.011300233379,4525.185297058732,7223.276230364183,6336.569384557421,6372.693029519757,5115.7001325126685,7966.80815159303,8104.112450969102,8311.179268076901,4769.736781644298,6382.450197472955,7910.595109430058,4754.178594464447,8379.012313885409,5425.351253731352,1254.6006484048837,6856.385888802344,6622.169784329467,4545.04745365831,8525.085147330854,7221.2753429868535,6401.410834762594,4484.756146807948,9217.011987308002,1862.2112370137424,4679.868459338741,3220.622249539381,4633.158911357143,4426.175867519069,3060.7382046504454,4679.12972138881,4813.112458884184,3897.756846623112,5131.353837213479,6176.62323693689,6328.053944738423,4419.932663074333,4338.1756280177015,6331.305227755788,6472.759255473098,2130.6465546349586,5138.948289589653,4893.010245769369,4138.089217251504,4951.268496259345,5025.612632528218,4915.824858580672,5470.7151772469315,5290.713272950071,7598.468752569164,7128.066965430296,5933.850323376997,4673.000491397899,2406.3998284226413,3499.292028840825,6672.857603004229,8972.263700894013,6275.612079572091,5444.389487755053,5178.189898358668,4042.186794838256,6097.782097073435,6677.110496584469,7000.463854446961,7015.099211298584,6645.827071755291,6797.510865184236,6443.995842600857,6353.714488617684,8532.71480978826,6662.425143121775,6755.363165727316,1909.7379894517373,4752.682173920437,1446.6671150745492,5574.069531001128,4678.837754593493,5966.860498225922,2770.1165131389134,5818.4843419971385,4683.135970576065,6539.916223954023,4879.045779550393,6270.807041852238
Breton,3490.765412494371,3333.685879095887,9282.366619988105,8820.884129328333,3954.9271656091573,4248.040909041262,4143.5825868204965,2124.953858070732,8313.053986223787,0.0,6322.70659135122,7132.315556188866,2225.136891510112,865.9329825496513,1384.7777352113983,3786.932183665861,3506.157598369,7009.671921830538,8566.803475760262,417.3801049211098,1379.0116369089358,3981.3639983232115,3871.0491124837263,1107.739550557154,2214.0809879912836,2490.9208951492733,5131.074306406987,563.7178881335742,7542.516135615991,585.0087480926993,5982.779986263622,2275.7444161978433,430.68438817178225,8552.700337092245,614.8436076828823,3773.996010860442,7208.99107745797,1603.2051948719652,1758.8880192243978,3932.144435363966,1931.2070658898356,1399.3367979715376,8203.216482442767,9898.688624802699,3512.8354903659088,8144.260478984913,3743.941145668013,5357.641208211952,4437.704008029383,5397.44376471992,7351.997534720511,3959.8329499320243,3892.788955060355,9358.710237049403,3860.8265888637907,2768.9160670471774,2106.5766868477235,3970.5453729393953,4062.489762493064,2044.0315398478872,2000.2153854449284,8518.692662477531,3241.546570160868,3625.7078196335606,8360.446676608368,4166.085372900794,3442.6721879745423,3447.7043947984375,4943.008098014148,8312.08342624733,752.1264092355095,1598.7571784936547,2708.3971299716363,3709.8086768936373,6066.006369639887,5423.772140426334,1643.3010574194716,989.1019028643587,2111.0489116537915,3040.389168563331,7090.136946971395,5344.798940842436,3112.134627478982,1661.0234877153505,1416.0279407735102,2033.8725571044388,2684.5723742884766,2445.288322888824,2908.1499246821454,2929.275496148947,667.4160728937278,2008.3473407556548,1872.959288736474,8595.044913741469,3692.8734844992723,8104.020751541517,3041.938153470122,3831.44298292803,2347.0521030489376,5545.141691576646,2786.893112908462,3637.8182133315313,6863.239817967265,4577.281518058143,7155.801711479288
